ISO time,Unix time,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Pilot,Group,Country
2016-06-21T04:00:01Z,1466481601,101,42.2472332,42.3533279,1997.91,0,0.4,87.4,662365.19,-267497.31,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:02Z,1466481602,101,42.2498947,42.3534201,1996.95,0,0.5,87.4,662583.5,-267463,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:03Z,1466481603,101,42.2525553,42.3535121,1996.19,0,0.6,87.4,662801.75,-267428.69,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:04Z,1466481604,101,42.2552265,42.3536045,1995.8,0,0.7,87.4,663020.88,-267394.25,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:05Z,1466481605,101,42.2579063,42.3536971,1995.77,0,0.7,87.4,663240.69,-267359.69,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:06Z,1466481606,101,42.2605968,42.3537899,1995.98,0,0.8,87.4,663461.38,-267325,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:07Z,1466481607,101,42.2632626,42.3538819,1996.37,0,0.8,87.4,663680.06,-267290.62,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:08Z,1466481608,101,42.2659343,42.3539741,1996.83,0,0.8,87.4,663899.25,-267256.19,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:09Z,1466481609,101,42.2686141,42.3540664,1997.3,0,0.8,87.4,664119.12,-267221.62,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:10Z,1466481610,101,42.2712844,42.3541583,1997.75,0,0.7,87.4,664338.12,-267187.19,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:11Z,1466481611,101,42.2739642,42.3542506,1998.16,0,0.7,87.4,664557.94,-267152.62,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:12Z,1466481612,101,42.2766336,42.3543424,1998.51,0,0.7,87.4,664776.94,-267118.22,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:13Z,1466481613,101,42.2793136,42.3544344,1998.8,0,0.7,87.4,664996.75,-267083.66,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:14Z,1466481614,101,42.2820038,42.3545268,1999.05,0,0.7,87.4,665217.44,-267048.97,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:15Z,1466481615,101,42.2846676,42.3546182,1999.25,0,0.7,87.4,665435.94,-267014.62,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:16Z,1466481616,101,42.2873427,42.35471,1999.4,0,0.7,87.4,665655.44,-266980.12,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:17Z,1466481617,101,42.2900243,42.3548018,1999.53,0,0.7,87.4,665875.38,-266945.56,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:18Z,1466481618,101,42.2926968,42.3548934,1999.63,0,0.7,87.4,666094.62,-266911.06,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:19Z,1466481619,101,42.2953708,42.3549848,1999.71,0,0.7,87.4,666313.94,-266876.59,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:20Z,1466481620,101,42.2980568,42.3550767,1999.77,0,0.6,87.4,666534.31,-266841.97,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:21Z,1466481621,101,42.300723,42.3551677,1999.83,0,0.6,87.4,666753,-266807.59,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:22Z,1466481622,101,42.3034028,42.3552593,1999.86,0,0.6,87.4,666972.81,-266773.03,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:23Z,1466481623,101,42.3060744,42.3553504,1999.89,0,0.6,87.4,667192,-266738.59,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:24Z,1466481624,101,42.3087488,42.3554416,1999.92,0,0.6,87.4,667411.38,-266704.09,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:25Z,1466481625,101,42.3114363,42.3555332,1999.93,0,0.6,87.4,667631.88,-266669.44,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:26Z,1466481626,101,42.3141168,42.3556245,1999.95,0,0.6,87.4,667851.75,-266634.88,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:27Z,1466481627,101,42.3167943,42.3557155,1999.96,0,0.6,87.4,668071.38,-266600.34,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:28Z,1466481628,101,42.3194494,42.3558059,1999.97,0,0.6,87.4,668289.19,-266566.12,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:29Z,1466481629,101,42.3221454,42.3558975,1999.97,0,0.6,87.4,668510.31,-266531.34,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:30Z,1466481630,101,42.3248041,42.3559878,1999.98,0,0.6,87.4,668728.5,-266497.06,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:31Z,1466481631,101,42.3274786,42.3560785,1999.98,0,0.6,87.4,668947.88,-266462.56,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:32Z,1466481632,101,42.3301665,42.3561696,1999.99,0,0.6,87.4,669168.31,-266427.91,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:33Z,1466481633,101,42.3328443,42.3562604,1999.99,0,0.6,87.4,669388,-266393.38,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:34Z,1466481634,101,42.3355112,42.3563507,1999.99,0,0.6,87.4,669606.75,-266359,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:35Z,1466481635,101,42.3381958,42.3564415,1999.99,0,0.6,87.4,669827,-266324.38,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:36Z,1466481636,101,42.3408631,42.3565317,1999.99,0,0.6,87.5,670045.81,-266290,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:37Z,1466481637,101,42.3435368,42.356622,2000,0,0.6,87.5,670265.12,-266255.5,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:38Z,1466481638,101,42.3462249,42.3567127,2000,0,0.6,87.5,670485.62,-266220.84,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:39Z,1466481639,101,42.3488863,42.3568026,2000,0,0.6,87.5,670704,-266186.5,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:40Z,1466481640,101,42.3515607,42.3568927,2000,0,0.6,87.5,670923.38,-266152.03,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:41Z,1466481641,101,42.3542555,42.3569835,2000,0,0.6,87.5,671144.44,-266117.28,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:42Z,1466481642,101,42.3569143,42.357073,2000,0,0.6,87.5,671362.56,-266083,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:43Z,1466481643,101,42.359591,42.3571631,2000,0,0.6,87.5,671582.12,-266048.5,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:44Z,1466481644,101,42.3622695,42.3572531,2000,0,0.6,87.5,671801.88,-266013.94,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:45Z,1466481645,101,42.3649585,42.3573434,2000,0,0.6,87.5,672022.44,-265979.25,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:46Z,1466481646,101,42.3676354,42.3574333,2000,0,0.6,87.5,672242.06,-265944.75,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:47Z,1466481647,101,42.3702973,42.3575226,2000,0,0.6,87.5,672460.38,-265910.44,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:48Z,1466481648,101,42.3729713,42.3576123,2000,0,0.6,87.5,672679.75,-265875.94,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:49Z,1466481649,101,42.3756519,42.3577021,2000,0,0.6,87.5,672899.69,-265841.38,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:50Z,1466481650,101,42.3783226,42.3577915,2000,0,0.6,87.5,673118.75,-265806.94,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:51Z,1466481651,101,42.3809985,42.357881,2000,0,0.6,87.5,673338.31,-265772.44,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:52Z,1466481652,101,42.3836762,42.3579705,2000,0,0.6,87.5,673558,-265737.91,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:53Z,1466481653,101,42.3863479,42.3580597,2000,0,0.6,87.5,673777.12,-265703.47,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:54Z,1466481654,101,42.3890319,42.3581493,2000,0,0.6,87.5,673997.31,-265668.84,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:55Z,1466481655,101,42.3917098,42.3582387,2000,0,0.6,87.5,674217,-265634.31,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:56Z,1466481656,101,42.3943785,42.3583276,2000,0,0.6,87.5,674435.94,-265599.88,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:57Z,1466481657,101,42.3970594,42.3584169,2000,0,0.6,87.5,674655.88,-265565.31,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:58Z,1466481658,101,42.3997279,42.3585057,2000,0,0.6,87.5,674874.75,-265530.91,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:00:59Z,1466481659,101,42.4024105,42.358595,2000,0,0.6,87.5,675094.88,-265496.31,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:00Z,1466481660,101,42.4050893,42.358684,2000,0,0.6,87.5,675314.62,-265461.75,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:01Z,1466481661,101,42.4077635,42.3587728,2000,0,0.6,87.5,675533.94,-265427.28,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:02Z,1466481662,101,42.4104359,42.3588615,2000,0,0.6,87.5,675753.25,-265392.81,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:03Z,1466481663,101,42.4131134,42.3589503,2000,0,0.6,87.5,675972.88,-265358.31,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:04Z,1466481664,101,42.4157864,42.3590389,2000,0,0.6,87.5,676192.12,-265323.81,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:05Z,1466481665,101,42.4184676,42.3591277,2000,0,0.6,87.5,676412.06,-265289.25,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:06Z,1466481666,101,42.4211429,42.3592162,2000,0,0.6,87.5,676631.56,-265254.75,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:07Z,1466481667,101,42.4238277,42.359305,2000,0,0.6,87.5,676851.81,-265220.12,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:08Z,1466481668,101,42.4265025,42.3593934,2000,0,0.6,87.5,677071.25,-265185.62,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:09Z,1466481669,101,42.4291883,42.3594821,2000,0,0.6,87.5,677291.56,-265151,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:10Z,1466481670,101,42.4318572,42.3595701,2000,0,0.6,87.5,677510.56,-265116.56,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:11Z,1466481671,101,42.434518,42.3596579,2000,0,0.6,87.5,677728.81,-265082.25,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:12Z,1466481672,101,42.4371912,42.359746,2000,0,0.6,87.5,677948.12,-265047.81,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:13Z,1466481673,101,42.4398928,42.3598349,2000,0,0.6,87.5,678169.75,-265012.97,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:14Z,1466481674,101,42.4425465,42.3599222,2000,0,0.6,87.5,678387.44,-264978.72,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:15Z,1466481675,101,42.4452227,42.3600102,2000,0,0.6,87.5,678607,-264944.22,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:16Z,1466481676,101,42.4479012,42.3600982,2000,0,0.6,87.5,678826.75,-264909.69,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:17Z,1466481677,101,42.4505897,42.3601864,2000,0,0.6,87.5,679047.31,-264875,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:18Z,1466481678,101,42.4532536,42.3602738,2000,0,0.6,87.5,679265.81,-264840.66,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:19Z,1466481679,101,42.4559314,42.3603617,2000,0,0.6,87.5,679485.5,-264806.12,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:20Z,1466481680,101,42.4586222,42.3604497,2000,0,0.6,87.5,679706.25,-264771.41,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:21Z,1466481681,101,42.4612791,42.3605368,2000,0,0.6,87.5,679924.25,-264737.16,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:22Z,1466481682,101,42.4639539,42.3606243,2000,0,0.6,87.5,680143.69,-264702.66,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:23Z,1466481683,101,42.466629,42.3607117,2000,0,0.6,87.5,680363.12,-264668.19,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:24Z,1466481684,101,42.4693121,42.3607993,2000,0,0.6,87.5,680583.25,-264633.59,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:25Z,1466481685,101,42.4719795,42.3608864,2000,0,0.6,87.5,680802.12,-264599.19,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:26Z,1466481686,101,42.4746585,42.3609738,2000,0,0.6,87.5,681021.88,-264564.62,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:27Z,1466481687,101,42.4773469,42.3610614,2000,0,0.6,87.5,681242.44,-264529.97,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:28Z,1466481688,101,42.4800235,42.3611485,2000,0,0.6,87.5,681462,-264495.44,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:29Z,1466481689,101,42.4826896,42.3612353,2000,0,0.6,87.5,681680.75,-264461.06,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:30Z,1466481690,101,42.4853641,42.3613223,2000,0,0.6,87.6,681900.12,-264426.56,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:31Z,1466481691,101,42.4880402,42.3614092,2000,0,0.6,87.6,682119.69,-264392.06,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:32Z,1466481692,101,42.4907262,42.3614965,2000,0,0.6,87.6,682340,-264357.41,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:33Z,1466481693,101,42.4933997,42.3615832,2000,0,0.6,87.6,682559.38,-264322.94,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:34Z,1466481694,101,42.496078,42.36167,2000,0,0.6,87.6,682779.06,-264288.41,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
2016-06-21T04:01:35Z,1466481695,101,42.4987428,42.3617564,2000,0,0.6,87.6,682997.75,-264254.03,81.1,Air+FixedWing,Red,Allies,MiG-21Bis,固定翼-1-1,固定翼-1,us
