ISO time,Unix time,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading
2023-05-12T08:05:01Z,1683878701,101,41.9372602,41.9388616,1995.6,0,3.3,69.4,641670.19,-316325.47,63.4
2023-05-12T08:05:02Z,1683878702,101,41.9384827,41.9392057,1990.96,0,5,69.4,641767.62,-316276.53,63.4
2023-05-12T08:05:03Z,1683878703,101,41.9397453,41.9395611,1987.18,0,5.7,69.4,641868.25,-316226.03,63.4
2023-05-12T08:05:04Z,1683878704,101,41.9410536,41.9399293,1984.96,0,5.9,69.4,641972.56,-316173.66,63.4
2023-05-12T08:05:05Z,1683878705,101,41.9424132,41.9403118,1984.23,0,5.7,69.4,642080.94,-316119.28,63.4
2023-05-12T08:05:06Z,1683878706,101,41.9438396,41.9407131,1984.7,0,5.3,69.4,642194.62,-316062.22,63.4
2023-05-12T08:05:07Z,1683878707,101,41.9453282,41.9411318,1985.98,0,4.8,69.4,642313.25,-316002.66,63.4
2023-05-12T08:05:08Z,1683878708,101,41.9468799,41.9415681,1987.71,2,4.4,69.5,642436.94,-315940.59,63.4
2023-05-12T08:05:09Z,1683878709,101,41.9485024,41.9420208,1989.63,5,3.9,69.8,642566.31,-315876.12,63.7
2023-05-12T08:05:10Z,1683878710,101,41.950192,41.9424839,1991.52,6.3,3.4,70.2,642701.12,-315809.88,64.1
2023-05-12T08:05:11Z,1683878711,101,41.951959,41.9429581,1993.28,6.4,3.1,70.5,642842.25,-315741.72,64.4
2023-05-12T08:05:12Z,1683878712,101,41.9538059,41.9434434,1994.83,6.1,2.7,70.9,642989.88,-315671.66,64.9
2023-05-12T08:05:13Z,1683878713,101,41.9557185,41.9439359,1996.12,5.6,2.3,71.3,643142.81,-315600.16,65.3
2023-05-12T08:05:14Z,1683878714,101,41.9577166,41.9444318,1997.09,3.4,2,72.1,643302.88,-315527.56,66
2023-05-12T08:05:15Z,1683878715,101,41.9597864,41.9449345,1997.79,1.3,1.8,72.2,643468.75,-315453.59,66.1
2023-05-12T08:05:16Z,1683878716,101,41.9619129,41.9454503,1998.35,0.7,1.6,72.2,643639.19,-315377.62,66.1
2023-05-12T08:05:17Z,1683878717,101,41.9641095,41.945982,1998.77,0.4,1.4,72.2,643815.25,-315299.31,66.1
2023-05-12T08:05:18Z,1683878718,101,41.966393,41.9465334,1999.11,-0.9,1.2,72.2,643998.25,-315218.03,66.2
2023-05-12T08:05:19Z,1683878719,101,41.9687554,41.9471033,1999.35,5.9,1,72.4,644187.69,-315134,66.3
2023-05-12T08:05:20Z,1683878720,101,41.971169,41.9476778,1999.55,7.5,0.9,72.6,644381.19,-315048.97,66.5
2023-05-12T08:05:21Z,1683878721,101,41.9736793,41.9482629,1999.7,8.6,0.8,73,644582.69,-314961.97,67
2023-05-12T08:05:22Z,1683878722,101,41.9762519,41.9488484,1999.82,8.5,0.7,73.5,644789.31,-314874.34,67.4
2023-05-12T08:05:23Z,1683878723,101,41.9789035,41.9494377,1999.9,8.5,0.6,73.8,645002.44,-314785.56,67.7
2023-05-12T08:05:24Z,1683878724,101,41.9815898,41.9500211,1999.95,8.3,0.5,74.2,645218.5,-314697.16,68.1
2023-05-12T08:05:25Z,1683878725,101,41.9843611,41.9506089,1999.99,7.7,0.4,74.5,645441.62,-314607.5,68.4
2023-05-12T08:05:26Z,1683878726,101,41.9871605,41.95119,2000,6.5,0.4,74.9,645667.06,-314518.34,68.8
2023-05-12T08:05:27Z,1683878727,101,41.989996,41.9517376,1999.67,4.1,0.3,76.2,645895.94,-314432.59,70.1
2023-05-12T08:05:28Z,1683878728,101,41.9929048,41.9522821,1999.31,1.6,0.2,76.2,646130.94,-314346.53,70.1
2023-05-12T08:05:29Z,1683878729,101,41.9958728,41.9528364,1999.08,0.8,0.2,76.2,646370.69,-314258.84,70.1
2023-05-12T08:05:30Z,1683878730,101,41.9988474,41.953391,1998.98,-4.1,0.2,76.2,646611,-314171.06,70.1
2023-05-12T08:05:31Z,1683878731,101,42.0018488,41.953956,1998.98,-4.9,0.2,76,646853.44,-314081.88,69.9
2023-05-12T08:05:32Z,1683878732,101,42.0048767,41.9545337,1999.04,-4.9,0.2,75.8,647097.88,-313991.06,69.7
2023-05-12T08:05:33Z,1683878733,101,42.0079214,41.9551221,1999.15,-4.6,0.1,75.6,647343.56,-313898.84,69.5
2023-05-12T08:05:34Z,1683878734,101,42.0110355,41.9557311,1999.27,-4,0.1,75.5,647594.81,-313803.78,69.4
2023-05-12T08:05:35Z,1683878735,101,42.0141888,41.956354,1999.39,-5.6,0.1,75.3,647849.19,-313706.75,69.2
2023-05-12T08:05:36Z,1683878736,101,42.0173701,41.956993,1999.51,-12.7,0.1,75,648105.62,-313607.72,68.9
2023-05-12T08:05:37Z,1683878737,101,42.0205687,41.957655,1999.63,-14.6,0,74.5,648363.19,-313505.97,68.3
2023-05-12T08:05:38Z,1683878738,101,42.023841,41.9583554,1999.76,-14.2,0,73.9,648626.5,-313399.28,67.8
2023-05-12T08:05:39Z,1683878739,101,42.0271267,41.9590817,1999.86,-12.9,-0.1,73.4,648890.56,-313289.59,67.3
2023-05-12T08:05:40Z,1683878740,101,42.0304202,41.9598178,2000.04,-2.5,-0.1,73.9,649155.12,-313178.69,67.7
2023-05-12T08:05:41Z,1683878741,101,42.0337259,41.9605333,2000.39,-1.9,-0.1,74,649420.94,-313070.03,67.9
2023-05-12T08:05:42Z,1683878742,101,42.0371203,41.9612663,2000.63,-0.8,-0.2,74,649693.94,-312958.59,67.9
2023-05-12T08:05:43Z,1683878743,101,42.0405432,41.9620047,2000.78,3.7,-0.2,74.1,649969.19,-312846.28,67.9
2023-05-12T08:05:44Z,1683878744,101,42.0439982,41.9627449,2000.85,5.9,-0.2,74.2,650247.12,-312733.47,68.1
2023-05-12T08:05:45Z,1683878745,101,42.047437,41.9634724,2000.87,5.1,-0.3,74.5,650523.81,-312622.22,68.3
2023-05-12T08:05:46Z,1683878746,101,42.0509248,41.9642016,2000.87,4.5,-0.3,74.6,650804.56,-312510.34,68.5
